127.0.0.1 - - [09/Apr/2017:12:51:01 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/ HTTP/1.1" 200 10852
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/css/bootstrapValidator.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/css/bootstrap-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/css/site.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/css/carousel.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/js/bootstrapValidator.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:06 +0800] "GET /ShSite/goodimages/101.jpg HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:07 +0800] "GET /ShSite/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:07 +0800] "GET /ShSite/goodimages/115.jpg HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2017:12:51:07 +0800] "GET /ShSite/goodimages/102.jpg HTTP/1.1" 404 3882
127.0.0.1 - - [09/Apr/2017:12:51:07 +0800] "GET /ShSite/goodimages/113.jpg HTTP/1.1" 404 3882
127.0.0.1 - - [09/Apr/2017:12:51:08 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [09/Apr/2017:12:51:22 +0800] "GET /ShSite/Good/Details?id=113 HTTP/1.1" 200 12748
